bs_rep	Class	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19
257	SW	362331	107773	61509	44383	34706	28445	23186	19284	16603	14514	11830	9823	8557	7168	6395	5413	4918	4553	4175
257	WS	258172	80049	47034	34149	27495	22259	17897	15063	13097	11200	9648	8135	6991	5868	5181	4594	3925	3529	3732
258	Neutre	283874	85534	49503	36194	28631	23345	19109	16076	13380	11427	10095	8370	7314	5964	5213	4497	4022	3610	3752
258	SW	363187	107782	61776	44911	34848	28304	23109	19207	16641	14521	11772	9817	8713	7226	6279	5407	4853	4417	4273
258	WS	258411	80363	46735	34003	27458	21749	18039	15109	12871	11310	9613	7985	6925	5864	5163	4718	3780	3612	3610
259	Neutre	284677	85761	49674	36261	28543	23293	19161	15728	13322	11495	10046	8128	7430	5966	5130	4498	4271	3762	3528
259	SW	363028	107917	61753	44952	35266	28583	23619	19383	16429	14432	11976	10009	8581	7369	6389	5386	4838	4283	4235
259	WS	257318	80185	46340	33945	26985	21749	17929	15186	13084	11115	9760	7873	6897	5931	5054	4728	3946	3727	3609
260	Neutre	284404	85931	49661	36335	28646	23419	19106	15850	13230	11493	10074	8308	7281	6007	5214	4498	3948	3658	3641
260	SW	362873	107384	61993	44858	34795	28252	23365	19492	16368	14138	12010	9918	8655	7251	6205	5476	4901	4379	4282
260	WS	258032	79928	46782	34383	27501	21925	18007	15115	12965	11268	9586	7941	6886	6006	5075	4601	3853	3762	3624
261	Neutre	284367	85401	49643	36193	28741	23460	18846	16251	13327	11486	9993	8234	7302	5997	5251	4560	4148	3685	3634
