region	localGC	invar_L	invar_GC	segregating_sites_unanchor	pi_sum_unanchor	pi_unanchor	unanchor_L	unanchor_GC	segregating_sites_anchor	pi_sum_anchor	pi_anchor	anchor_L	anchor_GC	total_pi	cds_anchor	cds_anchor_num_winds	cds_total	cds_total_num_winds	class	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19
C_50	0.316214	140264	44350	4540	1387.61	0.00584075	237574	75122	52721	14652.6	0.00748775	1956875	618797	0.00687031	106051	3822	136802	5122	Neutre	2787	931	467	391	302	228	183	188	129	102	96	82	65	56	52	36	45	35	39
C_50	0.316214	140264	44350	4540	1387.61	0.00584075	237574	75122	52721	14652.6	0.00748775	1956875	618797	0.00687031	106051	3822	136802	5122	SW	3671	1108	594	455	364	299	217	183	159	150	105	94	76	76	65	54	53	39	40
C_50	0.316214	140264	44350	4540	1387.61	0.00584075	237574	75122	52721	14652.6	0.00748775	1956875	618797	0.00687031	106051	3822	136802	5122	WS	2571	816	424	326	267	218	207	144	131	116	102	82	63	51	53	52	44	39	39
C_51	0.317198	138782	44021	4375	1341.13	0.00602282	222675	70630	53504	14954.3	0.0075253	1987209	630340	0.00693816	97650	3843	116846	4933	Neutre	2809	926	491	358	304	246	178	151	123	116	98	82	68	58	57	43	38	27	23
C_51	0.317198	138782	44021	4375	1341.13	0.00602282	222675	70630	53504	14954.3	0.0075253	1987209	630340	0.00693816	97650	3843	116846	4933	SW	3680	1080	587	462	342	283	210	187	170	140	110	125	86	80	59	55	30	47	48
C_51	0.317198	138782	44021	4375	1341.13	0.00602282	222675	70630	53504	14954.3	0.0075253	1987209	630340	0.00693816	97650	3843	116846	4933	WS	2557	834	535	359	266	225	179	139	113	83	99	67	71	66	50	35	43	29	34
C_52	0.318191	129118	41088	4768	1475.98	0.00602994	244775	77892	53224	14914.7	0.00767277	1943853	618505	0.00707182	90917	3781	114489	4996	Neutre	2881	800	483	385	255	242	203	177	124	107	99	94	77	60	43	48	43	31	38
C_52	0.318191	129118	41088	4768	1475.98	0.00602994	244775	77892	53224	14914.7	0.00767277	1943853	618505	0.00707182	90917	3781	114489	4996	SW	3726	1081	564	444	337	281	237	219	146	132	136	83	102	74	70	57	52	49	40
C_52	0.318191	129118	41088	4768	1475.98	0.00602994	244775	77892	53224	14914.7	0.00767277	1943853	618505	0.00707182	90917	3781	114489	4996	WS	2621	795	463	315	253	235	165	151	134	100	115	69	60	60	57	46	29	40	29
C_53	0.319164	120233	38373	3598	1116.52	0.00559374	199601	63700	51705	14438.7	0.00763234	1891775	603794	0.00703344	88195	3646	102567	4625	Neutre	2811	873	510	383	273	229	216	137	148	107	109	82	79	64	54	43	40	26	32
C_53	0.319164	120233	38373	3598	1116.52	0.00559374	199601	63700	51705	14438.7	0.00763234	1891775	603794	0.00703344	88195	3646	102567	4625	SW	3662	1051	610	478	333	288	265	178	183	135	127	100	95	66	74	51	49	26	37
